Rating,Rating,class,
4,"	I feel so LUCKY	",good,
4,"	nice up grade from my pantach revue	",good,
5,"	Very pleased	",good,
5,"	Great phone to replace my lost phone.	",good,
1,"	it did not state that it did not charge.	",bad,
2,"	The charging port was loose.	",bad,
1,"	Phone looks  but wouldn't stay charged	",bad,
4,"	It's battery life is great. 	",good,
1,"	I'm really disappointed about my phone and service.	",bad,
5,"	I must say it was a great purchase.	",good,
3,"	It does everything I need and works great.	",good,
2,"	 couldn't stay charged long.so I trashed it.	",bad,
3,"	 It's very responsive to touch.	",good,
2,"	The only issue is that sometimes the screen goes black	",bad,
5,"	This is a great product 	",good,
2,"	One thing is the SD card slot does not open up	",bad,
3,"	 It's the best phone and I love it.	",good,
5,"	 It does everything I need and works great	",good,
4,"	Very satisfied with the service.	",good,
2,"	it barely holds a charge	",bad,
3,"	pros-beautiful screen",good,
4,"	I called sprint to activate the phone only to find out the ESN wasn't clear.	",good,
1,"	Phone  just a little slow phone	",bad,
2,"	Phone's speaker little low.	",bad,
5,"	the phone was great and in  condition.	",good,
4,"	it is  for storage space	",good,
3,"	Phone works great. No problems at all	",good,
0,"0	Just... not .	",bad,
5,"	Perfect in every way.	",good,
1,"	One of the phones have a  charger port.	",bad,
3,"	 It's easy to use.	",good,
4,"	Great price and it brings back great memories of owning this phone	",good,
5,"	Met all of my expectations	",good,
4,"	excellent product in perfect condition	",good,
3,"	I like these phone I bought it for my mom and she loves it	",good,
1,"	No more mic. But it can take a beating.	",bad,
4,"	Very practical and user-friendly phone.	",good,
4,"	 I am very satisfied with it.	",good,
4,"	Sharp and classy phone	",good,
5,"	00% dd!	",good,
3,"	Shipped quickly and was exactly what I expected!	",good,
4,"	Works wonderful for the price!	",good,
2,"	 The phone functions are great	",good,
3,"	Excellent",good,
4,"	 walk in reasonable options",bad,
5,"	 choice	",good,
4,"	perfect",good," well packed	good"
5,"	excellent product !!....all right....i recommend....	",good,
3,"	easy to use and very affordable price	",good,
1,"	The keys are a little hard to hit	",bad,
3,"	The Phone is pretty 	",good,
2,"	loved everything about it.	",good,
3,"	 YOU WANT YOU ARE LOOKING FOR ECONOMIC AND NOT VERY SOPHISTICATED.	",good,
4,"	 I was impressed with the features of this phone	",good,
5,"	 it's capable of performing all basic functions",good,
4,"	 has  reception and it functions well.	",good,
3,"	The battery died in less than /hours....	",good,
4,"	very well	",good,
1,"	Cannot connect to GSM network	",bad,
3,"	This cell phone exceeded my expectations	",good,
4,"	 The features are enormous & helpful.	",good,
5,"	pros.. it works fine	",good,
0,"0	I have to say that it is a ok phone. I don't like the keyboard.	",bad,
4,"	Phone works great",good,
3,"	a pretty capable",good,
4,"	I recommend it 00% excellent product	",good,
5,"	Excellent phone",good,
5,"	excellent product in perfect condition	",good,
